2,R,Préfères-tu travailler en extérieur ou manipuler des outils concrets?,هل تفضل العمل في الهواء الطلق أو استخدام أدوات ملموسة؟,2
3,I,"Aimes-tu comprendre le '"pourquoi'" des choses ou analyser des données?","هل تحب فهم '"سبب'" الأشياء أو تحليل البيانات؟",3
4,I,Aimes-tu résoudre des problèmes mathématiques ou scientifiques complexes?,هل تحب حل المسائل الرياضية أو العلمية المعقدة؟,4
5,A,"Aimes-tu créer des designs, des textes ou des contenus originaux?",هل تحب ابتكار تصاميم أو نصوص أو محتويات أصلية؟,5
6,A,Es-tu attiré par l'apprentissage des langues et l'expression artistique?,هل تجذبك تعلم اللغات والتعبير الفني؟,6
7,S,"Aimes-tu enseigner, transmettre ton savoir ou aider les autres?",هل تحب التدريس، نقل معرفتك أو مساعدة الآخرين؟,7
8,S,Aimes-tu soigner les gens ou t'occuper de leur bien-être?,هل تحب علاج الناس أو الاهتمام بصحتهم؟,8
9,E,Aimes-tu diriger une équipe ou prendre des décisions importantes?,هل تحب قيادة فريق أو اتخاذ قرارات مهمة؟,9
10,E,Aimes-tu convaincre les gens ou lancer des projets commerciaux?,هل تحب إقناع الناس أو إطلاق مشاريع تجارية؟,10
11,C,Aimes-tu classer des documents et gérer des chiffres avec précision?,هل تحب ترتيب الوثائق وإدارة الأرقام بدقة؟,11
12,C,Préfères-tu travailler selon des règles et des procédures claires?,هل تفضل العمل وفقًا لقواعد وإجراءات واضحة؟,12
1,R,Aimes-tu réparer des objets ou des moteurs ?,هل تحب إصلاح الأشياء أو المحركات؟,1
